run,region,layer,chamber,status,total,passed,eff,eff_low,eff_up
342955,1,2,35,1,36,30,0.8333333333333334,0.7470242897419389,0.8974103211379082
342955,1,2,36,1,42,32,0.7619047619047619,0.6778778864208653,0.8314281860248667
342955,1,1,1,1,26,22,0.8461538461538461,0.7410639240543838,0.9183091670945704
342955,1,1,2,2,55,43,0.0,0.0,0.0
342955,1,1,3,1,22,19,0.8636363636363636,0.7484759198844314,0.9369321894431951
342955,1,1,4,1,52,35,0.6730769230769231,0.5953564530243012,0.7432484925760936
342955,1,1,5,1,67,55,0.8208955223880597,0.7613667833226276,0.8694216312666285
342955,1,1,6,1,108,85,0.7870370370370371,0.7402012492922077,0.8279634787617564
342955,1,1,7,1,81,57,0.7037037037037037,0.6443135178164154,0.7574932624677422
342955,1,1,8,1,91,78,0.8571428571428571,0.8105892283927073,0.8947300126911404
342955,1,1,9,1,75,60,0.8,0.7428643452007523,0.848054520710144
342955,1,1,10,1,119,100,0.8403361344537815,0.799430612154372,0.8748357762223659
342955,1,1,11,1,65,38,0.5846153846153846,0.5148919237041027,0.6514349772832714
342955,1,1,12,1,21,17,0.8095238095238095,0.6842733312876511,0.8983777449528144
342955,1,1,13,0,61,0,0.0,0.0,0.0
342955,1,1,14,0,54,0,0.0,0.0,0.0
342955,1,1,15,1,26,16,0.6153846153846154,0.49801821631158333,0.722358786636246
342955,1,1,16,1,33,15,0.45454545454545453,0.3560245170185124,0.5562390191893192
342955,1,1,17,1,23,19,0.8260869565217391,0.709722154847317,0.9074149232530404
342955,1,1,18,1,34,23,0.6764705882352942,0.5769810891651835,0.7639127948460586
342955,1,1,19,1,15,8,0.5333333333333333,0.3749852231986827,0.6863421611591893
342955,1,1,20,1,23,19,0.8260869565217391,0.709722154847317,0.9074149232530404
342955,1,1,21,2,5,3,0.0,0.0,0.0
342955,1,1,22,1,54,43,0.7962962962962963,0.7263683531529987,0.8535468115987531
342955,1,1,23,0,64,0,0.0,0.0,0.0
342955,1,1,24,1,127,94,0.7401574803149606,0.6953622915449493,0.7808057011822462
342955,1,1,25,1,96,81,0.84375,0.7975387992276967,0.8818426246228843
342955,1,1,26,1,185,85,0.4594594594594595,0.42044179467036147,0.498946500640423
342955,1,1,27,1,125,77,0.616,0.5676623248596219,0.6623197832275742
342955,1,1,28,1,169,121,0.7159763313609467,0.6770294287776628,0.7521574511296885
342955,1,1,29,1,109,92,0.8440366972477065,0.8012313987508426,0.8797331081118345
342955,1,1,30,1,165,122,0.7393939393939394,0.7006957856285679,0.7749426083669155
342955,1,1,31,1,88,75,0.8522727272727273,0.8043148807356264,0.8910838229455897
342955,1,1,32,1,120,81,0.675,0.6266537295078358,0.7201599346140792
342955,1,1,33,1,53,48,0.9056603773584906,0.8468449831761551,0.9458184198121569
342955,1,1,34,1,63,40,0.6349206349206349,0.5644762813917764,0.7005682322074449
342955,1,1,35,1,37,26,0.7027027027027027,0.6089181672920213,0.7837870184785409
342955,1,1,36,1,46,37,0.8043478260869565,0.7278639826404232,0.865361416156305
342955,-1,1,1,1,5,4,0.8,0.47561182090023846,0.9660749564895486
342955,-1,1,2,1,23,18,0.782608695652174,0.6622208255419948,0.8731389070039943
342955,-1,1,3,1,21,15,0.7142857142857143,0.5827858710995845,0.8212736939299969
342955,-1,1,4,1,56,47,0.8392857142857143,0.7745388574121188,0.8898745065969624
342955,-1,1,5,1,51,33,0.6470588235294118,0.5678438863501639,0.7197429411384347
342955,-1,1,6,1,75,63,0.84,0.7859897396631497,0.883601002093961
342955,-1,1,7,1,80,54,0.675,0.6142981271446303,0.7308408068783311
342955,-1,1,8,1,99,81,0.8181818181818182,0.7708936257764448,0.8582466818153605
342955,-1,1,9,0,53,0,0.0,0.0,0.0
