run,duration,hv,region,station,layer,chamber,online_report,has_dc,is_good,total,passed,eff,eff_low,eff_up
343034,12.688611111111111,690,1,1,2,25,1,True,True,92,83,0.9021739130434783,0.86067694248512,0.933461889412454
343034,12.688611111111111,690,1,1,2,26,1,True,False,151,111,0.7350993377483444,0.6942787720049195,0.7725304554066116
343034,12.688611111111111,690,1,1,2,27,1,True,True,123,103,0.8373983739837398,0.7970717840986835,0.8715958565628936
343034,12.688611111111111,690,1,1,2,28,1,True,False,206,113,0.5485436893203883,0.5112662939524224,0.5853179284894724
343034,12.688611111111111,690,1,1,2,29,1,True,True,136,96,0.7058823529411765,0.6616119584366277,0.7468530660050813
343034,12.688611111111111,690,1,1,2,30,1,True,True,150,100,0.6666666666666666,0.6237560153571166,0.7071709468284315
343034,12.688611111111111,690,1,1,2,31,1,True,True,78,64,0.8205128205128205,0.7661830876958924,0.865484584589149
343034,12.688611111111111,690,1,1,2,32,1,True,True,95,66,0.6947368421052632,0.6402074901214775,0.7447372668188472
343034,12.688611111111111,690,1,1,2,33,0,True,False,47,0,0.0,0.0,0.03843345227926993
343034,12.688611111111111,690,1,1,2,34,1,True,True,45,30,0.6666666666666666,0.5819827058637778,0.742893066909285
343034,12.688611111111111,690,1,1,2,35,1,True,True,38,34,0.8947368421052632,0.8192598364135771,0.9444460069495673
343034,12.688611111111111,690,1,1,2,36,1,True,True,43,37,0.8604651162790697,0.7863879949265272,0.9144087474906495
343034,12.688611111111111,690,-1,1,1,1,1,True,True,18,13,0.7222222222222222,0.5779251038843592,0.836532136627149
343034,12.688611111111111,690,-1,1,1,2,1,True,True,26,17,0.6538461538461539,0.5367437232328718,0.7570409712909582
343034,12.688611111111111,690,-1,1,1,3,1,True,True,38,25,0.6578947368421053,0.5642439791417148,0.7419797315043559
343034,12.688611111111111,690,-1,1,1,4,0,True,False,88,0,0.0,0.0,0.020714275855256283
343034,12.688611111111111,690,-1,1,1,5,1,True,True,50,29,0.58,0.49924109206092315,0.6571462111759794
343034,12.688611111111111,690,-1,1,1,6,1,True,True,109,75,0.6880733944954128,0.6374144738751208,0.7349441706325388
343034,12.688611111111111,690,-1,1,1,7,1,True,True,73,49,0.6712328767123288,0.6071911082640291,0.730042134701061
343034,12.688611111111111,690,-1,1,1,8,1,True,True,164,135,0.823170731707317,0.7882126095232532,0.853797672251971
343034,12.688611111111111,690,-1,1,1,9,0,True,False,100,0,0.0,0.0,0.01825139539231782
